GO	Pvalue	Odds	name	defin
GO:0015809	0.00912622	8.679879937	arginine transport	"The directed movement of arginine, 2-amino-5-guanidinopentanoic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore." [GOC:go_curators, ISBN:0198506732]
GO:1903204	0.0017755	6.808503748	negative regulation of oxidative stress-induced neuron death	"Any process that stops, prevents or reduces the frequency, rate or extent of oxidative stress-induced neuron death." [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:24252804]
GO:0031663	0.001167198	4.910817744	lipopolysaccharide-mediated signaling pathway	"A series of molecular signals initiated by the binding of a lipopolysaccharide (LPS) to a receptor on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription. Lipopolysaccharides are major components of the outer membrane of Gram-negative bacteria, making them prime targets for recognition by the immune system." [GOC:mah, GOC:signaling, PMID:15379975]
GO:0004112	0.000505219	15.43205119	cyclic-nucleotide phosphodiesterase activity	"Catalysis of the reaction: a nucleoside cyclic phosphate + H2O = a nucleoside phosphate." [GOC:mah]
GO:0008584	0.000498641	3.20247558	male gonad development	"The process whose specific outcome is the progression of the male gonad over time, from its formation to the mature structure." [GOC:jid]
GO:0043066	0.005278981	1.613661942	negative regulation of apoptotic process	"Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process." [GOC:jl, GOC:mtg_apoptosis]
GO:0043519	0.009734104	23.14516684	regulation of myosin II filament organization	"Any process that modulates the frequency, rate or extent of the assembly, arrangement of constituent parts, or disassembly of a bipolar filament composed of myosin II molecules." [GOC:jl]
GO:0106045	0.005004746	46.29047128	guanine deglycation, methylglyoxal removal	"The removal of methylglyoxal from a glycated guanine, to form lactate and a deglycated guanine." [PMID:28596309]
GO:0036471	4.12645E-05	46.29670405	cellular response to glyoxal	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glyoxal stimulus." [GOC:bf, GOC:PARL]
GO:0042978	0.003400633	13.88793175	ornithine decarboxylase activator activity	"Upregulation of the activity of the enzyme ornithine decarboxylase." [GOC:jl]
GO:0004135	0.009734104	23.14516684	amylo-alpha-1,6-glucosidase activity	"Catalysis of the hydrolysis of (1->6)-alpha-D-glucosidic branch linkages in glycogen phosphorylase limit dextrin. Limit dextrin is the highly branched core that remains after exhaustive treatment of glycogen with glycogen phosphorylase. It is formed because these enzymes cannot hydrolyze the (1->6) glycosidic linkages present." [EC:3.2.1.33, ISBN:0198506732]
GO:0016628	0.00494423	11.57324205	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	"Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces NAD or NADP." [GOC:jl]
GO:0030690	0.009734104	23.14516684	Noc1p-Noc2p complex	"A heterodimer associated with 90S and 66S preribosomes. Predominantly, but not exclusively, nucleolar; involved in ribosomal large subunit biogenesis." [PMID:12446671]
GO:0015991	0.00028151	6.482433586	ATP hydrolysis coupled proton transport	"The transport of protons against an electrochemical gradient, using energy from ATP hydrolysis." [GOC:mah, GOC:vw]
GO:0008073	0.001556426	10.28794238	ornithine decarboxylase inhibitor activity	"The stopping, prevention or reduction of the activity of the enzyme ornithine decarboxylase." [GOC:jl]
GO:0016614	0.00358639	7.715887979	oxidoreductase activity, acting on CH-OH group of donors	"Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group act as a hydrogen or electron donor and reduces a hydrogen or electron acceptor." [GOC:ai]
GO:0008307	0.00507606	4.208982677	structural constituent of muscle	"The action of a molecule that contributes to the structural integrity of a muscle fiber." [GOC:mah]
GO:0007042	0.000257995	11.57469722	lysosomal lumen acidification	"Any process that reduces the pH of the lysosomal lumen, measured by the concentration of the hydrogen ion." [GOC:jid]
GO:0036527	0.005004746	46.29047128	peptidyl-arginine deglycation	"The removal of a sugar or dicarbonyl from an arginine residue of a glycated protein." [GOC:bf, GOC:PARL, PMID:14568004, PMID:25416785]
GO:0008360	0.009597151	2.16104937	regulation of cell shape	"Any process that modulates the surface configuration of a cell." [GOC:dph, GOC:go_curators, GOC:tb]
GO:0019478	0.009734104	23.14516684	D-amino acid catabolic process	"The chemical reactions and pathways resulting in the breakdown of D-amino acids, the D-enantiomers of amino acids." [GOC:ai, GOC:jsg]
GO:2001243	0.00290701	4.789588964	negative regulation of intrinsic apoptotic signaling pathway	"Any process that stops, prevents or reduces the frequency, rate or extent of intrinsic apoptotic signaling pathway." [GOC:mtg_apoptosis]
GO:0007017	0.000402406	5.144974419	microtubule-based process	"Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins." [GOC:mah]
GO:0043523	0.000402406	5.144974419	regulation of neuron apoptotic process	"Any process that modulates the occurrence or rate of cell death by apoptotic process in neurons." [GOC:go_curators, GOC:mtg_apoptosis]
GO:0031434	0.006296085	4.822589802	mitogen-activated protein kinase kinase binding	"Interacting selectively and non-covalently with a mitogen-activated protein kinase kinase, any protein that can phosphorylate a MAP kinase." [GOC:mah]
GO:0060143	0.000180064	23.14821441	positive regulation of syncytium formation by plasma membrane fusion	"Any process that increases the frequency, rate or extent of the formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane, by the fusion of the plasma membranes of two or more individual cells." [GOC:dph]
GO:0000293	0.00031344	18.51851648	ferric-chelate reductase activity	"Catalysis of the reaction: 2 Fe2+ + NAD+ = 2 Fe3+ + NADH + H(+)." [EC:1.16.1.7]
GO:0036526	0.005004746	46.29047128	peptidyl-cysteine deglycation	"The removal of a sugar or dicarbonyl from a cysteine residue of a glycated protein." [GOC:bf, GOC:PARL, PMID:14568004, PMID:25416785]
GO:1901985	0.000505219	15.43205119	positive regulation of protein acetylation	"Any process that activates or increases the frequency, rate or extent of protein acetylation." [GOC:TermGenie, PMID:22117195]
GO:0030027	0.002506756	2.315750689	lamellipodium	"A thin sheetlike process extended by the leading edge of a migrating cell or extending cell process; contains a dense meshwork of actin filaments." [ISBN:0815316194]
GO:0032486	0.001556426	10.28794238	Rap protein signal transduction	"A series of molecular signals within the cell that are mediated by a member of the Rap family of proteins switching to a GTP-bound active state." [GOC:mah]
GO:2000359	0.005004746	46.29047128	regulation of binding of sperm to zona pellucida	"Any process that modulates the frequency, rate or extent of binding of sperm to the zona pellucida." [GOC:obol]
GO:0007035	1.00422E-05	12.46666314	vacuolar acidification	"Any process that reduces the pH of the vacuole, measured by the concentration of the hydrogen ion." [GOC:jid]
GO:0044302	0.005004746	46.29047128	dentate gyrus mossy fiber	"Distinctive, unmyelinated axons produced by granule cells." [NIF_Subcellular:nlx_subcell_20090601, PMID:17765709]
GO:0014069	0.00657514	1.929917327	postsynaptic density	"An electron dense network of proteins within and adjacent to the postsynaptic membrane of an asymetric, neuron-neuron synapse. Its major components include neurotransmitter receptors and the proteins that spatially and functionally organize them such as anchoring and scaffolding molecules, signaling enzymes and cytoskeletal components." [GOC:BHF, GOC:dos, GOC:ef, GOC:jid, GOC:pr, GOC:sjp, http://molneuro.kaist.ac.kr/psd, PMID:14532281, Wikipedia:Postsynaptic_density]
GO:0004074	0.001292998	23.14669052	biliverdin reductase activity	"Catalysis of the reaction: bilirubin + NAD(P)+ = biliverdin + NAD(P)H + H+." [EC:1.3.1.24]
GO:0005763	0.003974877	3.429799405	mitochondrial small ribosomal subunit	"The smaller of the two subunits of a mitochondrial ribosome." [GOC:mcc]
GO:0036528	0.005004746	46.29047128	peptidyl-lysine deglycation	"The removal of a sugar or dicarbonyl from a lysine residue of a glycated protein." [GOC:bf, GOC:PARL, PMID:14568004, PMID:25416785]
GO:0060084	0.00494423	11.57324205	synaptic transmission involved in micturition	"The process of communication from a neuron to a smooth muscle in the bladder that contributes to the expulsion of urine from the body." [GOC:dph, PMID:15827347]
GO:0006002	0.00358639	7.715887979	fructose 6-phosphate metabolic process	"The chemical reactions and pathways involving fructose 6-phosphate, also known as F6P. The D-enantiomer is an important intermediate in glycolysis, gluconeogenesis, and fructose metabolism." [ISBN:0198506732]
GO:0031982	2.75519E-06	3.114135799	vesicle	"Any small, fluid-filled, spherical organelle enclosed by membrane." [GOC:mah, GOC:pz, GOC:vesicles]
GO:0051017	4.62665E-07	6.8426695	actin filament bundle assembly	"The assembly of actin filament bundles; actin filaments are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness." [GOC:ai]
GO:0036529	0.005004746	46.29047128	protein deglycation, glyoxal removal	"The removal of glyoxal from a glycated protein, to form glycolate and a deglycated protein." [GOC:bf, GOC:PARL, PMID:25416785]
GO:0035226	3.61117E-10	92.61890013	glutamate-cysteine ligase catalytic subunit binding	"Interacting selectively and non-covalently with the catalytic subunit of glutamate-cysteine ligase." [PMID:12954617]
GO:0004743	0.000180064	23.14821441	pyruvate kinase activity	"Catalysis of the reaction: ATP + pyruvate = ADP + phosphoenolpyruvate." [EC:2.7.1.40]
GO:0006694	0.006990512	3.086764402	steroid biosynthetic process	"The chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus; includes de novo formation and steroid interconversion by modification." [GOC:go_curators]
GO:0043124	0.008998012	3.240975912	negative regulation of I-kappaB kinase/NF-kappaB signaling	"Any process that stops, prevents, or reduces the frequency, rate or extent of -kappaB kinase/NF-kappaB signaling." [GOC:jl]
GO:0004903	0.009734104	23.14516684	growth hormone receptor activity	"Combining with a growth hormone and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity." [GOC:ai, GOC:signaling]
GO:0046961	6.84393E-05	8.529670011	proton-transporting ATPase activity, rotational mechanism	"Enables the transfer of protons from one side of a membrane to the other according to the reaction: ATP + H2O + H+(in) = ADP + phosphate + H+(out), by a rotational mechanism." [EC:3.6.3.14]
GO:0050880	0.002674972	6.091782926	regulation of blood vessel size	"Any process that modulates the size of blood vessels." [GOC:ai]
GO:1901984	0.009734104	23.14516684	negative regulation of protein acetylation	"Any process that stops, prevents or reduces the frequency, rate or extent of protein acetylation." [GOC:TermGenie, PMID:22117195]
GO:0036158	0.001518762	5.555989264	outer dynein arm assembly	"The aggregation, arrangement and bonding together of a set of components to form an axonemal dynein outer arm, an outer arm structure present on the outer doublet microtubules of ciliary and flagellar axonemes." [GOC:BHF, GOC:vk, PMID:19944400]
GO:0030388	0.001556426	10.28794238	fructose 1,6-bisphosphate metabolic process	"The chemical reactions and pathways involving fructose 1,6-bisphosphate, also known as FBP. The D enantiomer is a metabolic intermediate in glycolysis and gluconeogenesis." [ISBN:0198506732]
GO:0003872	1.71603E-06	18.00761643	6-phosphofructokinase activity	"Catalysis of the reaction: ATP + D-fructose-6-phosphate = ADP + D-fructose 1,6-bisphosphate." [EC:2.7.1.11]
GO:0043005	0.001829053	1.774763761	neuron projection	"A prolongation or process extending from a nerve cell, e.g. an axon or dendrite." [GOC:jl, http://www.cogsci.princeton.edu/~wn/]
GO:0033179	0.001556426	10.28794238	proton-transporting V-type ATPase, V0 domain	"A protein complex that forms part of a proton-transporting V-type ATPase and mediates proton transport across a membrane. The V0 complex consists of at least four different subunits (a,c,d and e); six or more c subunits form a proton-binding rotor ring." [GOC:mah, ISBN:0716743663, PMID:16449553]
GO:2000521	0.000667132	34.72013898	negative regulation of immunological synapse formation	"Any process that stops, prevents or reduces the frequency, rate or extent of immunological synapse formation." [GOC:obol]
GO:0036531	0.005004746	46.29047128	glutathione deglycation	"The removal of a sugar or dicarbonyl from glycated glutathione. Glutathione is the tripeptide glutamylcysteinylglycine." [GOC:bf, GOC:PARL, PMID:25416785]
GO:0006906	0.003234939	3.561735945	vesicle fusion	"Fusion of the membrane of a transport vesicle with its target membrane." [GOC:jid]
GO:0004090	0.00494423	11.57324205	carbonyl reductase (NADPH) activity	"Catalysis of the reaction: R-CHOH-R' + NADP+ = R-CO-R' + NADPH + H+." [EC:1.1.1.184]
GO:1904427	4.12645E-05	46.29670405	positive regulation of calcium ion transmembrane transport	"Any process that activates or increases the frequency, rate or extent of calcium ion transmembrane transport." [GO_REF:0000058, GOC:TermGenie, PMID:22910094]
GO:0070095	0.003400633	13.88793175	fructose-6-phosphate binding	"Interacting selectively and non-covalently with fructose 6-phosphate." [GOC:mah]
GO:0005739	3.13364E-05	1.449168528	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration." [GOC:giardia, ISBN:0198506732]
